Nation,LAD,MSOA,LSOA.DZ.CD,LSOA.DZ.NM,Under.35,Over.65,EPC,Median.Income,Tenure,Typology,Unemployment,Rurality,House.value,Fuel.Type,Fuel.consumption.total,Floor.area,Gas.flag,Number.cars,Urban.trips,Total.vkm,Urban.vkm
Scotland,S12000047,-,S01009693,Cupar Tarvit,0.36,0.26,4,33990,1,1,0.03,2,212500,1,21032,88,1,1,227,20225,4045
Scotland,S12000047,-,S01009694,Cupar South South East,0.20,0.43,3,28474,1,2,0.05,2,190000,1,13312,64,1,1,338,21388,4277
Scotland,S12000047,-,S01009695,Ceres East and Pitscottie,0.32,0.25,4,31615,1,2,0.04,2,217778,1,21312,72,0,1,205,22847,4569
Scotland,S12000047,-,S01009696,Craigrothie and Ceres West,0.28,0.30,4,30293,1,2,0.05,2,185000,1,28583,101,1,1,361,20127,4025
Scotland,S12000047,-,S01009697,Dairsie and Kemback,0.26,0.26,4,31501,1,2,0.04,2,183250,1,15555,61,1,1,270,16542,3308
Scotland,S12000047,-,S01009698,Peat Inn and Dunino,0.32,0.21,4,38627,1,2,0.03,2,335000,2,35712,72,1,1,226,17883,3576
Scotland,S12000047,-,S01009699,Elie,0.21,0.40,4,23599,1,1,0.06,2,275000,1,35203,107,1,1,130,20933,4186
Scotland,S12000047,-,S01009700,Colinsburgh Kilconquhar and Balcormo,0.34,0.24,4,27614,1,2,0.07,2,150000,1,35844,103,1,1,236,18764,3753
Scotland,S12000047,-,S01009701,Earlsferry,0.16,0.52,4,24472,1,2,0.05,2,255000,1,31700,100,1,1,91,28554,5710
Scotland,S12000047,-,S01009702,Largoward Landward,0.36,0.22,4,33632,1,2,0.05,2,190000,2,39609,163,0,1,229,19623,3924
Scotland,S12000047,-,S01009703,Pittenweem East,0.35,0.26,4,25427,1,1,0.08,2,149500,1,29808,92,1,1,190,19632,3926
Scotland,S12000047,-,S01009704,Pittenweem West,0.27,0.34,4,28898,1,1,0.05,2,193750,1,34299,111,1,1,320,20520,4104
Scotland,S12000047,-,S01009705,St Monans West,0.34,0.27,4,26900,1,1,0.14,2,118250,1,22796,82,1,1,269,16350,3270
Scotland,S12000047,-,S01009706,St Monans East and Abercrombie,0.31,0.27,4,25373,1,1,0.12,2,151000,1,32320,101,1,1,183,20597,4119
Scotland,S12000047,-,S01009707,Anstruther,0.33,0.19,4,32368,1,3,0.04,2,170500,1,23436,126,1,1,189,28398,5679
Scotland,S12000047,-,S01009708,Anstruther East and Cellardyke,0.38,0.25,2,30039,1,1,0.08,2,189000,1,18800,94,1,1,208,22369,4473
Scotland,S12000047,-,S01009709,Anstruther South West,0.27,0.37,4,26304,1,3,0.07,2,170500,1,35496,102,1,1,233,20149,4029
Scotland,S12000047,-,S01009710,Anstruther Waid,0.41,0.14,3,29022,1,1,0.11,2,183000,1,16240,80,1,1,201,22824,4564
Scotland,S12000047,-,S01009711,Anstruther West,0.35,0.29,3,25980,1,1,0.12,2,157000,1,23134,86,1,1,217,23234,4646
Scotland,S12000047,-,S01009712,Kilrenny,0.30,0.26,4,27597,1,2,0.07,2,155500,1,25276,89,0,1,191,20563,4112
Scotland,S12000047,-,S01009713,Crail South and Fife Ness,0.28,0.32,4,23169,1,1,0.05,2,223750,1,21142,62,0,1,244,22289,4457
Scotland,S12000047,-,S01009714,Crail North,0.27,0.34,3,25793,1,2,0.05,2,199250,1,19140,87,1,1,256,24841,4968
Scotland,S12000047,-,S01009715,Boarhills and Kingsbarns,0.32,0.25,5,26244,1,2,0.04,2,245000,2,31000,125,0,1,199,15822,3164
Scotland,S12000047,-,S01009716,Kilrymont and Langlands,0.43,0.27,4,27398,1,1,0.03,1,283050,1,19734,78,1,1,569,17012,11276
Scotland,S12000047,-,S01009717,East Sands,0.68,0.10,3,24489,1,1,0.04,1,278000,1,17812,73,1,1,383,12091,8015
Scotland,S12000047,-,S01009718,Langlands West,0.49,0.17,3,26468,1,1,0.07,1,190000,1,17479,77,1,1,506,15989,10598
Scotland,S12000047,-,S01009719,Kilrymont East,0.48,0.19,4,25792,1,3,0.08,1,172500,1,23715,93,0,1,576,10458,6932
Scotland,S12000047,-,S01009720,Kilrymont West,0.50,0.23,3,24799,1,3,0.05,1,182000,1,24565,85,1,1,469,11218,7435
Scotland,S12000047,-,S01009721,St  Andrews Town Centre,0.87,0.03,3,25246,3,3,0.00,1,347500,1,22536,72,1,1,126,17733,11754
Scotland,S12000047,-,S01009722,Madras and St Leonards,0.74,0.12,2,20529,1,3,0.01,1,351000,1,19012,97,1,1,160,20458,13560
